Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399,6963,12274,13953,15996,18396,18800,19217,,,19200,19200,19000,,,,19000,19000,
Africa Eastern and Southern,AFE,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195606,417125,530556,609715,700598,1002607,1336066,1694910,2572220,3123787,3086933,3129499,3187389,3286161,4119216,4929182,
Afghanistan,AFG,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,220,500,500,500,1000,1500,,1500,1500,1500,7067,8801,9182,15999,19683,26570,
Africa Western and Central,AFW,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25547,,141153,191510,246893,342842,,400964,399466,489777,565867,971317,980402,1084105,1209936,1743931,
Angola,AGO,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7458,11700,15942,15000,15000,15817,20512,22282,87750,153571,84724,96919,109561,119068,230610,
Albania,ALB,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,272,10000,64000,92000,105539,128210,160088,182556,207964,242870,266379,303612,361947,436192,508937,
Andorra,AND,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1148,3601,6282,10341,14616,18526,20672,22941,24502,25763,26905,27734,28770,30694,32490,34284,35663,36358,37000,
Arab World,ARB,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365937,861800,1545499,2811961,4235468,5845325,7123797,8570787,10323586,8880291,10801834,18081304,20019879,28218281,30067212,33114238,38898085,
United Arab Emirates,ARE,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,1973,8374,16632,30327,56146,129320,240620,379800,557577,690424,786818,866968,954988,1041934,1091763,1234447,1297585,2761830,3024565,3045957,3245123,
Argentina,ARG,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94000,148000,258849,542879,926722,1583713,2600000,3114741,3511026,4028238,4572023,5148583,6251020,6519458,6855837,7251673,7842778,8473655,8793181,9571562,
