Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.52604141,127.388535,253.4977819,426.5012359,568.5322233,757.1473754,1172.936633,977.5913289,1152.617954,1401.561471,1582.900924,
Africa Eastern and Southern,AFE,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.762733464,8.966787964,15.68753804,19.00419303,24.52282549,29.55688182,94.96229399,894.6126591,1164.559933,1322.652725,1310.17317,
Afghanistan,AFG,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.479690076,0.531254164,1.219458267,1.425490598,1.708079913,2.15031248,12.03967054,43.44818099,52.86248045,27.5223881,34.98736306,
Africa Western and Central,AFW,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.603515154,0.860843142,1.543101297,1.966790871,2.624826496,3.42391859,29.69327701,109.7435111,89.70735043,43.58580106,45.59250549,
Angola,AGO,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.284452935,1.857917992,3.18624498,4.574145867,5.938733134,8.140758374,8.321059193,10.79929217,11.19774051,14.73670365,20.08137949,
Albania,ALB,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.119434772,8.261063371,25.51371345,35.57745315,52.26533901,68.38608492,144.6402612,443.0203758,526.0998557,767.2927285,884.8250911,
Andorra,AND,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686.7643925,943.3061088,1116.139129,978.085923,1098.304571,2025.82283,2833.30099,3415.717495,5194.265531,20182.51108,9719.795509,
Arab World,ARB,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.213191122,9.020895616,16.70536127,20.50848631,26.72854965,36.5276925,55.76140664,127.0588946,136.7243731,153.1772692,152.2653851,
United Arab Emirates,ARE,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.81288697,125.6318196,237.048271,275.388708,367.0428911,586.641586,938.6842717,1285.099111,1483.963291,1912.0772,1405.504327,
Argentina,ARG,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.20321131,34.0268856,63.33076552,73.85742248,89.923716,123.2728413,735.0247651,1628.591391,1872.59091,3018.488825,3685.763129,
Armenia,ARM,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.42639072,18.77257924,30.16393579,54.52801687,62.49135164,76.56656386,189.7043983,271.3267402,335.0564972,478.7458482,587.5337553,
American Samoa,ASM,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.49119178,17.93561116,17.9633189,0,430.1769103,17.91922016,179.4075961,988.9062697,450.7672058,343.50593,217.4031197,
Antigua and Barbuda,ATG,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681.585823,817.9271709,519.8712489,710.3048847,777.857004,694.6596702,804.0626322,890.7518994,841.2787437,895.8451321,1245.813251,
